profile;M;WS;BS;S;T;W;I;A;Ld
Human;4;6;6;4;4;3;6;4;9
Elf;5;7;7;4;4;3;9;4;10
Dwarf;3;7;6;4;5;4;5;4;10
Ogre;6;6;5;5;5;5;6;5;9
Halfling;4;5;7;3;3;3;9;4;10
Gor;5;7;6;4;5;4;6;4;9
Centigor;9;7;6;4;5;4;6;4;9
Minotaur;6;6;5;5;5;5;6;5;9
Possessed;6;8;0;6;6;4;7;5;10
Vampire;6;8;6;7;6;4;9;4;10
Skaven;6;6;6;4;4;3;7;4;7
Clan Pestilens;5;6;6;4;5;3;7;4;7
Ghoul;5;5;2;4;5;3;5;5;7
Tomb Lord;4;6;6;5;5;5;5;4;9
Liche Priest;4;6;6;4;4;3;6;4;9
Acolyte;4;6;6;4;4;3;6;4;9
Skink;6;5;6;4;3;3;7;4;8
Saurus;4;6;0;5;5;3;4;4;10
Orc;4;6;6;4;5;3;5;4;9
Black Orc;4;7;6;5;6;3;5;4;9
Goblin;4;5;6;4;4;3;6;4;7